mol_id,lead_idx,mat_file,lead_smiles
100,101,FRCSO_N100_DDProblem1_M2_D_101.mat,O=C(N[C@@H]1CCCc2ccccc21)[C@@H]1CCCN1S(=O)(=O)c1ccccc1C(F)(F)F
101,102,FRCSO_N100_DDProblem1_M2_D_102.mat,CC1=NC(SCC(=O)Nc2ccccc2C(F)(F)F)=NC(=O)[C@H]1Cc1ccccc1
102,103,FRCSO_N100_DDProblem1_M2_D_103.mat,CSCC[NH2+]Cc1nc(C)c(C)s1
103,104,FRCSO_N100_DDProblem1_M2_D_104.mat,Cn1nc(C(C)(C)C)cc1C(=O)NCCc1nc(-c2ccc(Cl)cc2)no1
104,105,FRCSO_N100_DDProblem1_M2_D_105.mat,COc1ccc(CCNC(=O)[C@@H]2CCCN2C(=O)Nc2cccc(OC)c2)cc1
105,106,FRCSO_N100_DDProblem1_M2_D_106.mat,CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1
106,107,FRCSO_N100_DDProblem1_M2_D_107.mat,COc1cccc(N2C(=O)C[C@@H](N3CCN(c4ccc5c(c4)OCO5)CC3)C2=O)c1
107,108,FRCSO_N100_DDProblem1_M2_D_108.mat,CC(C)[C@@]1(CC2CCOCC2)CCC[NH2+]1
108,109,FRCSO_N100_DDProblem1_M2_D_109.mat,Cc1nccn1-c1ccc(C[NH2+][C@@H](C)c2ccccc2N(C)C)cc1F
109,110,FRCSO_N100_DDProblem1_M2_D_110.mat,CO[C@]1(C)C[C@H](NC(=O)NCc2ccnc(OCC(F)F)c2)C1(C)C
110,111,FRCSO_N100_DDProblem1_M2_D_111.mat,COC[C@@H](C)NC(=O)N[C@@H](C(N)=O)c1ccccc1
111,112,FRCSO_N100_DDProblem1_M2_D_112.mat,Cc1oc(-c2ccccc2)nc1CCNC(=O)c1ccc([S@@](C)=O)cc1
112,113,FRCSO_N100_DDProblem1_M2_D_113.mat,CC[NH+]1CCC[C@@H]1CN(C)S(=O)(=O)c1cccc(C[NH3+])c1
113,114,FRCSO_N100_DDProblem1_M2_D_114.mat,O=c1n(CCO)c2ccccc2n1CCO
114,115,FRCSO_N100_DDProblem1_M2_D_115.mat,COc1cccc([C@@H](NC(=O)[C@@H](C)c2ccsc2)c2nccn2C)c1
115,116,FRCSO_N100_DDProblem1_M2_D_116.mat,C[NH+]1CCC(NC(=O)C(=O)Nc2ccc(OC3CCCC3)cc2)CC1
116,117,FRCSO_N100_DDProblem1_M2_D_117.mat,O=C(NNc1cccc(C(F)(F)F)c1)c1cccc2cccnc12
117,118,FRCSO_N100_DDProblem1_M2_D_118.mat,O=S(=O)(c1ccc2c(ccn2Cc2ccccc2)c1)N1CCC[NH2+]CC1
118,119,FRCSO_N100_DDProblem1_M2_D_119.mat,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C
119,120,FRCSO_N100_DDProblem1_M2_D_120.mat,O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1
120,121,FRCSO_N100_DDProblem1_M2_D_121.mat,Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1
121,122,FRCSO_N100_DDProblem1_M2_D_122.mat,COc1ccc(SCC(=O)Nc2ccc(N3CC[NH+](C)CC3)c(F)c2)cc1
122,123,FRCSO_N100_DDProblem1_M2_D_123.mat,C[C@@H](COc1ccccc1)OC(=O)[C@H]1CCCN(C(=O)c2cccs2)C1
123,124,FRCSO_N100_DDProblem1_M2_D_124.mat,O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21
124,125,FRCSO_N100_DDProblem1_M2_D_125.mat,CNC(=O)CN1CCN(C(=O)c2nc(C)n[nH]2)CC1
125,126,FRCSO_N100_DDProblem1_M2_D_126.mat,CC(C)[C@@H](CO)Nc1ccc(N)cc1Br
126,127,FRCSO_N100_DDProblem1_M2_D_127.mat,COc1ccc(CNC(=O)c2cc(N3C(=O)C(C)(C)CS3(=O)=O)ccc2Cl)cc1OC
127,128,FRCSO_N100_DDProblem1_M2_D_128.mat,CCc1cccc(S(=O)(=O)Nc2cccc(-c3nnnn3C)c2)c1
128,129,FRCSO_N100_DDProblem1_M2_D_129.mat,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1
129,130,FRCSO_N100_DDProblem1_M2_D_130.mat,Cc1ccsc1CNC(=O)CCCC[NH3+]
130,131,FRCSO_N100_DDProblem1_M2_D_131.mat,CCC[C@@H]1CC[C@H](C[NH3+])[C@H]([NH+]2C[C@@H](C)C[C@@H](C)C2)C1
131,132,FRCSO_N100_DDProblem1_M2_D_132.mat,C[C@H](O)CC#CC[NH+]1CCC[C@H](c2cccnc2)C1
132,133,FRCSO_N100_DDProblem1_M2_D_133.mat,COc1cc([C@@H]2NC(=O)c3cccnc3N2)ccc1O
133,134,FRCSO_N100_DDProblem1_M2_D_134.mat,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1
134,135,FRCSO_N100_DDProblem1_M2_D_135.mat,O=C1NCCN(C(=O)CCc2ccccc2)[C@@H]1CC(=O)N1CCN(c2ccccc2)CC1
135,136,FRCSO_N100_DDProblem1_M2_D_136.mat,COC[C@H](O)CCCC(F)(F)F
136,137,FRCSO_N100_DDProblem1_M2_D_137.mat,CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1
137,138,FRCSO_N100_DDProblem1_M2_D_138.mat,O=C(NCCNS(=O)(=O)c1cccc(Cl)c1)C12CC3CC(CC(C3)C1)C2
138,139,FRCSO_N100_DDProblem1_M2_D_139.mat,COC(=O)c1c(NC(=O)c2cccc(OC)c2)sc(C(=O)NC(C)C)c1C
139,140,FRCSO_N100_DDProblem1_M2_D_140.mat,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1
140,141,FRCSO_N100_DDProblem1_M2_D_141.mat,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C
141,142,FRCSO_N100_DDProblem1_M2_D_142.mat,O=C(Nc1cccc2ccccc12)NC1CC[NH+](CC(F)F)CC1
142,143,FRCSO_N100_DDProblem1_M2_D_143.mat,Cc1cc(C)c(NC(=O)c2cc3ccccc3n2C)c(C)c1
143,144,FRCSO_N100_DDProblem1_M2_D_144.mat,CN(C(=O)c1ccn(C)n1)[C@H](Cc1ccccc1)C1CCN(C(=O)C2=CCCC2)CC1
144,145,FRCSO_N100_DDProblem1_M2_D_145.mat,CC(C)NS(=O)(=O)c1ccc(C(=O)N[C@H](C)c2ccccc2Br)cc1
145,146,FRCSO_N100_DDProblem1_M2_D_146.mat,CCOc1ncnc(S(=O)(=O)CC)c1N
146,147,FRCSO_N100_DDProblem1_M2_D_147.mat,Nc1ccc(Cl)c(S(=O)(=O)N2CCN3C(=O)NC[C@H]3C2)c1
147,148,FRCSO_N100_DDProblem1_M2_D_148.mat,CCC1CCC(C[NH2+][C@@H]2CCC[C@H]2[C@@H]2CCCC[NH2+]2)CC1
148,149,FRCSO_N100_DDProblem1_M2_D_149.mat,CC[NH+]1CCN(C(=O)C2CC[NH+](Cc3ccccc3F)CC2)CC1
149,150,FRCSO_N100_DDProblem1_M2_D_150.mat,COc1ccc2nc(Nc3ccc4c(c3)CCC4)sc2c1
