mol_id,lead_idx,mat_file,lead_smiles
0,1,FRCSO_N100_DDProblem1_M2_D_1.mat,CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1
1,2,FRCSO_N100_DDProblem1_M2_D_2.mat,C[C@@H](C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCC[C@@H]1[C@@H]1CC=CS1
2,3,FRCSO_N100_DDProblem1_M2_D_3.mat,CCN(C[C@@H]1CCOC1)C(=O)c1ccnc(Cl)c1
3,4,FRCSO_N100_DDProblem1_M2_D_4.mat,Cc1ccccc1C[S@](=O)CCCc1ccccc1
4,5,FRCSO_N100_DDProblem1_M2_D_5.mat,CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl
5,6,FRCSO_N100_DDProblem1_M2_D_6.mat,c1ccc(-c2cc(N3C[C@H]4[C@@H]5CC[C@@H](O5)[C@H]4C3)c3ccccc3[nH+]2)cc1
6,7,FRCSO_N100_DDProblem1_M2_D_7.mat,Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1
7,8,FRCSO_N100_DDProblem1_M2_D_8.mat,Cc1ccn2c(=O)c(C(=O)Nc3n[n-]c(C(F)(F)F)n3)cnc2c1
8,9,FRCSO_N100_DDProblem1_M2_D_9.mat,CN(Cc1ccncc1)C(=O)c1ccc(I)cc1
9,10,FRCSO_N100_DDProblem1_M2_D_10.mat,COc1ccccc1N1CCN(c2ccc(=O)n(CC(=O)NC3CC3)n2)CC1
10,11,FRCSO_N100_DDProblem1_M2_D_11.mat,COC(=O)Cn1nc(C)c(CNc2ncnc3sccc23)c1C
11,12,FRCSO_N100_DDProblem1_M2_D_12.mat,C=CCNC(=O)Nc1ccc(F)c(NC(=O)OC)c1
12,13,FRCSO_N100_DDProblem1_M2_D_13.mat,c1cnn(C[C@H]2CN(CCCOc3ccc4c(c3)OCO4)CCO2)c1
13,14,FRCSO_N100_DDProblem1_M2_D_14.mat,COc1cc(C(=O)Nc2ccccc2Oc2ccccc2)on1
14,15,FRCSO_N100_DDProblem1_M2_D_15.mat,CCCc1nnc(NC(=O)NNc2ccccc2Cl)s1
15,16,FRCSO_N100_DDProblem1_M2_D_16.mat,COC(=O)c1ccc(CNc2ccn(C)n2)[nH]1
16,17,FRCSO_N100_DDProblem1_M2_D_17.mat,N#Cc1cc2c(cc1C#N)N1CCCc3c(Cl)ccc(c31)O2
17,18,FRCSO_N100_DDProblem1_M2_D_18.mat,Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1
18,19,FRCSO_N100_DDProblem1_M2_D_19.mat,CCC[C@@H]1NC(=O)N(CC(=O)Nc2ccccc2Oc2ccccc2)C1=O
19,20,FRCSO_N100_DDProblem1_M2_D_20.mat,CC(C)[C@H](C)[NH+]1Cc2cccc(NCc3cc(=O)n4ccsc4[nH+]3)c2C1
20,21,FRCSO_N100_DDProblem1_M2_D_21.mat,CC1(C)C(=O)N(CC2(CC(N)=S)CC2)S1(=O)=O
21,22,FRCSO_N100_DDProblem1_M2_D_22.mat,CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl
